
      1: Executing main
public /* Using Class-Supplied Parser */ 
 class good1p {
      2: 
      3:    public static void outInt(int n) {
              5: TypeNode[NodeDumpable]  "Ljava/io/PrintStream;"
                4: LocalNode[ASTNodeIsh, NodeDumpable, SymDeclaring, LocalDeclaring]  "Local Ljava/io/PrintStream; ps"
              11: <Ljava/io/PrintStream;> AssignNode[AssignIsh, NodeDumpable, AssignTypeRequiring]  "Assign"
                6: <Ljava/io/PrintStream;> RefNode[LocalReferencing, Referencing, NodeDumpable]  "Local Ref ps4: type Ljava/io/PrintStream; mods null reg -1"
                7: <Ljava/io/PrintStream;> StaticReference[FieldReferencing, ASTNodeIsh, InvokeReference, Referencing, NodeDumpable, StaticReferencing]  ""
                  8: TypeNode[NodeDumpable]  "Ljava/lang/System;"
                  9: TemporaryNode[NodeDumpable]  "out"
                  10: <Ljava/io/PrintStream;> TypeAssertingNode[TypeAsserting, NodeDumpable]  "Ljava/io/PrintStream;"
              18: <V> InvokeNode[ASTNodeIsh, InvokeIsh, NodeDumpable]  ""
                13: <V> FieldReference[FieldReferencing, ASTNodeIsh, InvokeReference, Referencing, NodeDumpable]  ""
                  12: <Ljava/io/PrintStream;> RefNode[LocalReferencing, Referencing, NodeDumpable]  "Local Ref ps4: type Ljava/io/PrintStream; mods null reg -1"
                  14: TemporaryNode[NodeDumpable]  "print"
                  15: <V> TypeAssertingNode[TypeAsserting, NodeDumpable]  "V"
                17: ArgsNode[ASTNodeIsh, ArgIsh, NodeDumpable]  "ARGS"
                  16: <I> RefNode[LocalReferencing, Referencing, NodeDumpable]  "Local Ref n1: type I mods null reg -1"
        51: ModTypeNode[NodeDumpable]  "V"
          22: MethodNode[ASTNodeIsh, NodeDumpable, SymDeclaring, MethodDeclaring]  "public static V main431"
            21: ParamsNode[ASTNodeIsh, NodeDumpable, ParamIsh]  "PARAMS"
            50: BlockNode[ASTNodeIsh, NodeDumpable, BlockIsh]  "BLOCK"
              25: TypeNode[NodeDumpable]  "I"
                23: LocalNode[ASTNodeIsh, NodeDumpable, SymDeclaring, LocalDeclaring]  "Local I w"
                24: LocalNode[ASTNodeIsh, NodeDumpable, SymDeclaring, LocalDeclaring]  "Local I x"
              30: <I> AssignNode[AssignIsh, NodeDumpable, AssignTypeRequiring]  "Assign"
                26: <I> RefNode[LocalReferencing, Referencing, NodeDumpable]  "Local Ref x24: type I mods null reg -1"
                29: <I> AddNode[ComputeIsh, NodeDumpable, BinaryComputeIsh]  ""
                  27: <I> IntNode[ConstantProducing, ASTNodeIsh, ConstantInt, IntTypeProducing, NodeDumpable]  "Int 3"
                  28: <I> IntNode[ConstantProducing, ASTNodeIsh, ConstantInt, IntTypeProducing, NodeDumpable]  "Int 4"
              37: <V> InvokeNode[ASTNodeIsh, InvokeIsh, NodeDumpable]  ""
                31: <V> StaticReference[FieldReferencing, ASTNodeIsh, InvokeReference, Referencing, NodeDumpable, StaticReferencing]  ""
                  32: TypeNode[NodeDumpable]  "LTestClasses/good1p;"
                  33: TemporaryNode[NodeDumpable]  "outInt"
                  34: <V> TypeAssertingNode[TypeAsserting, NodeDumpable]  "V"
                36: ArgsNode[ASTNodeIsh, ArgIsh, NodeDumpable]  "ARGS"
                  35: <I> RefNode[LocalReferencing, Referencing, NodeDumpable]  "Local Ref x24: type I mods null reg -1"
              42: <I> AssignNode[AssignIsh, NodeDumpable, AssignTypeRequiring]  "Assign"
                38: <I> RefNode[LocalReferencing, Referencing, NodeDumpable]  "Local Ref x24: type I mods null reg -1"
                41: <I> MpyNode[ComputeIsh, NodeDumpable, BinaryComputeIsh]  ""
                  39: <I> IntNode[ConstantProducing, ASTNodeIsh, ConstantInt, IntTypeProducing, NodeDumpable]  "Int 5"
                  40: <I> IntNode[ConstantProducing, ASTNodeIsh, ConstantInt, IntTypeProducing, NodeDumpable]  "Int 7"
              49: <V> InvokeNode[ASTNodeIsh, InvokeIsh, NodeDumpable]  ""
                43: <V> StaticReference[FieldReferencing, ASTNodeIsh, InvokeReference, Referencing, NodeDumpable, StaticReferencing]  ""
                  44: TypeNode[NodeDumpable]  "LTestClasses/good1p;"
                  45: TemporaryNode[NodeDumpable]  "outInt"
                  46: <V> TypeAssertingNode[TypeAsserting, NodeDumpable]  "V"
                48: ArgsNode[ASTNodeIsh, ArgIsh, NodeDumpable]  "ARGS"
                  47: <I> RefNode[LocalReferencing, Referencing, NodeDumpable]  "Local Ref x24: type I mods null reg -1"
      55: TemporaryNode[NodeDumpable]  "Statics"
      56: TemporaryNode[NodeDumpable]  "Inner Classes"
Code Generation
Ignoring 59: TemporaryNode[NodeDumpable]  "Program"
    Ignoring 57: ClassBody[ASTNodeIsh, ClassIsh, NodeDumpable]  "Class Body"
      Ignoring 52: TemporaryNode[NodeDumpable]  "Fields"
      Ignoring 53: TemporaryNode[NodeDumpable]  "Constructors"
      Ignoring 54: TemporaryNode[NodeDumpable]  "Methods"
        Ignoring 20: ModTypeNode[NodeDumpable]  "V"
            Ignoring 5: TypeNode[NodeDumpable]  "Ljava/io/PrintStream;"
                Ignoring 8: TypeNode[NodeDumpable]  "Ljava/lang/System;"
                Ignoring 9: TemporaryNode[NodeDumpable]  "out"
                Ignoring 10: <Ljava/io/PrintStream;> TypeAssertingNode[TypeAsserting, NodeDumpable]  "Ljava/io/PrintStream;"
                Ignoring 14: TemporaryNode[NodeDumpable]  "print"
                Ignoring 15: <V> TypeAssertingNode[TypeAsserting, NodeDumpable]  "V"
              Ignoring 17: ArgsNode[ASTNodeIsh, ArgIsh, NodeDumpable]  "ARGS"
        Ignoring 51: ModTypeNode[NodeDumpable]  "V"
            Ignoring 25: TypeNode[NodeDumpable]  "I"
                Ignoring 32: TypeNode[NodeDumpable]  "LTestClasses/good1p;"
                Ignoring 33: TemporaryNode[NodeDumpable]  "outInt"
                Ignoring 34: <V> TypeAssertingNode[TypeAsserting, NodeDumpable]  "V"
              Ignoring 36: ArgsNode[ASTNodeIsh, ArgIsh, NodeDumpable]  "ARGS"
                Ignoring 44: TypeNode[NodeDumpable]  "LTestClasses/good1p;"
                Ignoring 45: TemporaryNode[NodeDumpable]  "outInt"
                Ignoring 46: <V> TypeAssertingNode[TypeAsserting, NodeDumpable]  "V"
              Ignoring 48: ArgsNode[ASTNodeIsh, ArgIsh, NodeDumpable]  "ARGS"
      Ignoring 55: TemporaryNode[NodeDumpable]  "Statics"
      Ignoring 56: TemporaryNode[NodeDumpable]  "Inner Classes"
